starting,fixed
"He cut if off, sort of arbitrarily.",He's been stopped.
"The Soviet Union refused to agree to that, and we went to the summit and it was disastrous.","The Soviet Union refused to agree to that, and we went to the summit and it was unfortunate."
This is the history of dealing with dictators.,Dealing with them is a bad choice.
It’s a horrible thing she’s doing.,It’s a bad thing she’s doing.
We have gone from the biggest deficits eight years ago to the biggest surpluses in history today.,"Comparing to the deficits of eight years ago, now we are going in a surplus."
I believe that many of the things they have done are evil in any concept of morality that we have.,I believe there was no morality in what they have done.
"But I think it makes sense, I think most Americans in their guts know, that we ought to pass a sort of truth standard.","But I think it makes sense, that we ought to pass a sort of truth standard."
The man is practicing fuzzy math again.,The man is practicing something strange again.
"This is a contest between a Democrat in the mainstream of my party, as exemplified by the actions that I have taken in the Oval Office the last four years, as contrasted with Governor Reagan, who in most cases does typify his party, but in some cases, there is a radical departure by him from the heritage of Eisenhower and others.","This is a contest between a Democrat in the mainstream of my party, as exemplified by the actions that I have taken in the Oval Office the last four years, as contrasted with Governor Reagan, who in most cases does typify his party, but in some cases, there is division by him from the heritage of Eisenhower and others."
In so many families women are a significant bread earner or the only bread earner.,In so many families women are the person who works or the only bread earner.
"You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it.",I'm here to explain my plan.
"Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was. Well, I want to tell you, President Bush, the ""we"" is the people of the US of America.","Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was."
The lifeblood of our economy is investment.,Our economy is based on investment.
"These kinds of approaches are very dangerous to the security, the well being and the peace of mind of the retired people of this country and those approaching retirement age.",These approaches can badly afflict retired people and those approaching retirement age.
"And my case to the American people is, if you're happy with inactivity, stay with the horse.","And my case to the American people is, if you're happy with inactivity, don't vote me."
"In the meantime, bin Laden is still out there. He is not captured. He is not killed.","In the meantime, there are still some issues to solve."
"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help. We're providing that young woman with help.","I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, asking for help."
"Now, that, I think, is one of the most serious, sort of, reversals or mixed messages that you could possibly send.","Now, that, I think, is a bad move."
"Well, it is a terribly painful situation for Americans.",It is a bad situation.
We've graduated 15 million kids from high school in the last few years who can't read at a significant level. They are permanently sentenced to a lifetime of failure.,There will be problem in the future.
Our home initiative -- our home ownership initiative -- HOPE -- that passed the Congress is a good start for having people own their own homes instead of living in these deadly tenements.,Our home initiative -- our home ownership initiative -- HOPE -- that passed the Congress is a good start for having people own their own homes instead of living in these bad flats.
"The position of the United States has been that this build - up, in the words of the president, has been foolish.",The president didn't agree with this build.
We were threatened by a veto if we passed a dollar and a quarter - it's extremely difficult with the great power that the president does to pass any bill when the president is opposed to it.,We were afraid of a veto if we passed a dollar and a quarter - it's extremely difficult with the great power that the president does to pass any bill when the president is opposed to it.
"And to make sure our society is as hopeful as it possibly can be, every single child in America must be educated. I mean every child.",Children need to be educated to have a hope for our society.
"Absolutely. I mean, she calls our people deplorable, a large group, and irredeemable.","Absolutely. I mean, she calls our people using bad words."
"We set aside a part of Wyoming, nearly a million acres of wilderness that ought to be separate and not be developed.","We set aside a part of Wyoming, nearly a million acre of forest that ought to be separate and not be developed."
I built an unbelievable company.,I built a good company.
I know I'm ready for it. I think the American people are too.,I know I'm ready for it.
Who fought against wasteful and earmark spending?,Who fought against waste and spending on appropriations?
"Now, that's a certain passion that in my view it's misguided passion.",I don't stand with this situation.
