Date,Fallacy,Label,Subcategory,Context,fix,strategy,fixed_context
1996,"To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted. It was not only precipitous, it was a sign, not of strength, but of weakness.",AppealtoEmotion,Appeal to fear,"It is precipitous to go into Iraq with bombing before we had even consulted with our allies. To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted. It was not only precipitous, it was a sign, not of strength, but of weakness. What's worse, they declared victory.",To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted.,Removing emotional snippet,"It is precipitous to go into Iraq with bombing before we had even consulted with our allies. To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted. What's worse, they declared victory."
1984,they know that people's lives and health are being risked,AppealtoEmotion,Appeal to fear,"The American people want this environment protected. They know that these toxic waste dumps should have been cleaned up a long time ago, and they know that people's lives and health are being risked, because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment. The American people want their children educated.",they know there are many risks,Generalizing,"The American people want this environment protected. They know that these toxic waste dumps should have been cleaned up a long time ago, and they know there are many risks, because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment. The American people want their children educated."
2004,this is the man who masterminded the greatest mass murder and terrorist attack in American history.,AppealtoEmotion,Appeal to fear,And what did we do? We turned -- this is the man who masterminded the greatest mass murder and terrorist attack in American history. And what did the administration decide to do?,this is the killer.,Generalizing + weakening,And what did we do? We turned -- this is the killer. And what did the administration decide to do?
2004,We were safer before President Bush came to office. Now they have the bombs and we're less safe.,AppealtoEmotion,Appeal to fear,"For two years, the president didn't even engage with North Korea, did nothing at all, while it was growing more dangerous, despite the warnings of former Secretary of Defense William Perry, who negotiated getting television cameras and inspectors into that reactor. We were safer before President Bush came to office. Now they have the bombs and we're less safe. So what do we do?",We were safer before President Bush came to office. Now their situation is different.,Generalizing + weakening,"For two years, the president didn't even engage with North Korea, did nothing at all, while it was growing more dangerous, despite the warnings of former Secretary of Defense William Perry, who negotiated getting television cameras and inspectors into that reactor. We were safer before President Bush came to office. Now their situation is different. So what do we do?"
2016,"And every day that goes by, we see the results of the regime by Assad in partnership with the Iranians on the ground, the Russians in the air, bombarding places, in particular Aleppo, where there are hundreds of thousands of people, probably about 250,000 still left.",AppealtoEmotion,Appeal to fear,"Well, the situation in Syria is catastrophic. And every day that goes by, we see the results of the regime by Assad in partnership with the Iranians on the ground, the Russians in the air, bombarding places, in particular Aleppo, where there are hundreds of thousands of people, probably about 250,000 still left. And there is a determined effort by the Russian air force to destroy Aleppo in order to eliminate the last of the Syrian rebels who are really holding out against the Assad regime.","And every day that goes by, the situation is worsening, where there are hundreds of thousands of people, probably about 250,000 still left.",Generalizing,"Well, the situation in Syria is catastrophic. And every day that goes by, the situation is worsening, where there are hundreds of thousands of people, probably about 250,000 still left. And there is a determined effort by the Russian air force to destroy Aleppo in order to eliminate the last of the Syrian rebels who are really holding out against the Assad regime."
1996,"The only thing, Jim, they have to offer is fear.",AppealtoEmotion,Appeal to fear,"Franklin Roosevelt said in 1932 that the only thing we have to fear is fear itself. The only thing, Jim, they have to offer is fear. Fear of the environment, fear of the climate, fear of Medicare, fear of Newt, fear of Republicans, fear of Bob, and probably fear of cutting tax rates.","They have only one thing, Jim.",Removing emotional snippet,"Franklin Roosevelt said in 1932 that the only thing we have to fear is fear itself. They have only one thing, Jim. Fear of the environment, fear of the climate, fear of Medicare, fear of Newt, fear of Republicans, fear of Bob, and probably fear of cutting tax rates."
2000,We don't know whether he's developing weapons of mass destruction.,AppealtoEmotion,Appeal to fear,The sanctions are being violated. We don't know whether he's developing weapons of mass destruction. He better not be or there's going to be a consequence should I be the president.,We don't know whether he's developing something.,Weakening,The sanctions are being violated. We don't know whether he's developing something. He better not be or there's going to be a consequence should I be the president.
2004,"The national intelligence assessment that was given to the president in July said, best - case scenario, more of the same of what we see today; worst - case scenario, civil war.",AppealtoEmotion,Appeal to fear,"That's Allawi's assessment. The national intelligence assessment that was given to the president in July said, best - case scenario, more of the same of what we see today; worst - case scenario, civil war. I can do better.","The national intelligence assessment that was given to the president in July said, best - case scenario, more of the same of what we see today; worst - case scenario, current situation worsened.",Weakening,"That's Allawi's assessment. The national intelligence assessment that was given to the president in July said, best - case scenario, more of the same of what we see today; worst - case scenario, current situation worsened. I can do better."
2000,"I have a few African - American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",AppealtoEmotion,Appeal to fear,"And the sad fact is that racial profiling occurs in this country. I have a few African - American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore. That's why I 've supported legislation in the first instance in Congress.",We can't tolerate it anymore.,Removing emotional snippet,And the sad fact is that racial profiling occurs in this country. We can't tolerate it anymore. That's why I 've supported legislation in the first instance in Congress.
1980,It will come from the pockets of the people who are living in those very areas.,AppealtoEmotion,Appeal to fear,"It will come from the pockets of the people. It will come from the pockets of the people who are living in those very areas. And the problem is, with Governments - Federal, State and Local - taking $.44 out of every dollar earned, that the Federal Government has pre - empted too many of the tax sources, and that the cities.",It is a wide problem of that area.,Generalizing + weakening,"It will come from the pockets of the people. It is a wide problem of that area. And the problem is, with Governments - Federal, State and Local - taking $.44 out of every dollar earned, that the Federal Government has pre - empted too many of the tax sources, and that the cities."
